,PC1,PC2,PC3,PC4,PC5
X1,0.5549171209653624,0.23248949580744,-0.27956386580575815,0.7234233045621669,-0.19109785595555598
X2,-0.5706314694105566,0.2117720681088252,-0.18329022344314844,0.4621638363647017,0.6183377714761427
X3,0.5796406896012547,0.1567519654875815,0.31060447483359027,-0.18667072499874438,0.7128284456418351
X4,0.016984577052216003,0.6859778126240628,-0.5610983416697448,-0.46112873941297994,-0.040925559162004285
X5,-0.173709268833878,0.6371534253312935,0.6906100564824652,0.1248104037684984,-0.26709682795988143
