,PC1,PC2,PC3,PC4,PC5
X1,0.9225169801552103,0.3218181761356422,-0.1662773598354915,0.225158994386169,-0.0391600345745091
X2,-0.9486411574874001,0.2931405587962661,-0.10901628631419612,0.14384433564869742,0.12671062366791905
X3,0.9636184546185781,0.21698026168318732,0.18473951159447372,-0.05809958354533837,0.1460737821334843
X4,0.02823585746312162,0.9495488291266214,-0.33372678758756835,-0.14352217103598439,-0.00838652167891374
X5,-0.2887814126744188,0.8819648068251871,0.41075700730054354,0.038846115164142984,-0.05473384808714578
